state,last_update,lat,long,confirmed,deaths,recovered,active,fips,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate,date,month_abbr,day,state_abbr
Wisconsin,2020-04-12T23:18:15Z,44.2685,-89.6165,3341,144,NA,3197,55,64.56573888,39257,974,4.3100868,758.6522632,29.15294822,2020-04-12,Apr,12,WI
Wyoming,2020-04-12T23:18:15Z,42.756,-107.3025,270,0,137,270,56,54.29973453,5459,40,0,1097.860188,14.81481481,2020-04-12,Apr,12,WY
Alabama,2020-04-13T23:07:54Z,32.3182,-86.9023,3734,99,NA,3635,1,79.63493333293523,29182,457,2.6513122656668453,622.3638523089759,12.23888591322978,2020-04-13,Apr,13,AL
Alaska,2020-04-13T23:07:54Z,61.3707,-152.4044,277,8,85,269,2,46.34052085407085,7830,32,2.888086642599278,1309.9143620482844,11.552346570397113,2020-04-13,Apr,13,AK
Arizona,2020-04-13T23:07:54Z,33.7298,-111.4312,3705,122,NA,3583,4,50.90182789082197,43347,525,3.292847503373819,595.5307782951309,14.17004048582996,2020-04-13,Apr,13,AZ
Arkansas,2020-04-13T23:07:54Z,34.9697,-92.3731,1410,29,391,1381,5,54.46061396810462,20804,130,2.0567375886524824,803.5451155974812,9.21985815602837,2020-04-13,Apr,13,AR
California,2020-04-13T23:07:54Z,36.1162,-119.6816,23931,714,NA,23217,6,61.035047905282056,190882,3015,2.987756466507877,486.8368231271593,12.598721323805941,2020-04-13,Apr,13,CA
Colorado,2020-04-13T23:07:54Z,39.0598,-105.3111,7691,306,NA,7385,8,135.7200246417166,37534,1472,3.9786763749837473,662.3476017295789,19.139253673124433,2020-04-13,Apr,13,CO
Connecticut,2020-04-13T23:07:54Z,41.5978,-72.7554,13381,602,NA,12779,9,375.31340394195473,44309,1760,4.498916373963082,1242.7891499337923,13.152978103280772,2020-04-13,Apr,13,CT
Delaware,2020-04-13T23:07:54Z,39.3185,-75.5071,1758,41,213,1717,10,180.53655711240094,11820,201,2.3321956769055747,1213.8464761482248,11.433447098976108,2020-04-13,Apr,13,DE
District of Columbia,2020-04-13T23:07:54Z,38.8974,-77.0268,1955,52,507,1903,11,277.0106652648463,10934,295,2.659846547314578,1549.276017394286,15.089514066496164,2020-04-13,Apr,13,DC
Florida,2020-04-14T00:42:00Z,27.7663,-81.6868,21019,499,NA,122520,12,579.3871934514303,196207,2833,0.40562839886521596,924.083459185368,2.3028963005714562,2020-04-14,Apr,14,FL
Georgia,2020-04-13T23:07:54Z,33.0406,-83.6431,13315,465,NA,12850,13,131.31949811985785,57021,2589,3.492301915133308,562.3709427181686,19.444235824258357,2020-04-13,Apr,13,GA
Hawaii,2020-04-13T23:07:54Z,21.0943,-157.4983,504,9,310,495,15,35.598600353443246,18844,44,1.7857142857142858,1330.9921132148502,8.73015873015873,2020-04-13,Apr,13,HI
Idaho,2020-04-13T23:07:54Z,44.2405,-114.4788,1426,27,NA,1399,16,88.54409539415472,14881,132,1.8934081346423561,924.0004793551308,9.256661991584853,2020-04-13,Apr,13,ID
Illinois,2020-04-13T23:07:54Z,40.3495,-88.9861,22025,798,NA,21227,17,187.67596485683413,105768,3680,3.623155505107832,901.2536413610729,16.708286038592508,2020-04-13,Apr,13,IL
Indiana,2020-04-13T23:07:54Z,39.8494,-86.2583,8359,350,NA,8009,18,127.7354471902022,44539,NA,4.187103720540734,680.6088147391333,NA,2020-04-13,Apr,13,IN
Iowa,2020-04-13T23:07:54Z,42.0115,-93.2105,1710,41,741,1669,19,65.249418765046,18696,142,2.3976608187134505,713.3936451645029,8.304093567251462,2020-04-13,Apr,13,IA
Kansas,2020-04-13T23:07:54Z,38.5266,-96.7265,1390,62,NA,1328,20,57.00253599771662,13864,309,4.460431654676259,568.549035303844,22.230215827338128,2020-04-13,Apr,13,KS
Kentucky,2020-04-13T23:07:54Z,37.6681,-84.6701,2018,113,607,1905,21,58.948915710937655,25866,667,5.599603567888999,755.5860524177965,33.052527254707634,2020-04-13,Apr,13,KY
Louisiana,2020-04-13T23:07:54Z,31.1695,-91.8678,21016,884,NA,20132,22,457.1412661351334,108091,2134,4.206318995051389,2351.20177949242,10.154168252759803,2020-04-13,Apr,13,LA
Maine,2020-04-13T23:07:54Z,44.6939,-69.3819,698,19,273,679,23,59.45455133960133,12306,124,2.7220630372492836,1048.2058865116533,17.76504297994269,2020-04-13,Apr,13,ME
Maryland,2020-04-13T23:07:54Z,39.0639,-76.8021,8936,262,603,8674,24,150.3532949093396,51751,1975,2.9319606087735006,870.7400811160737,22.10161145926589,2020-04-13,Apr,13,MD
Massachusetts,2020-04-13T23:07:54Z,42.2302,-71.5301,26867,844,NA,26023,25,391.4319997808785,122049,2340,3.1414002307663678,1778.1622116818567,8.709569360181636,2020-04-13,Apr,13,MA
Michigan,2020-04-13T23:07:54Z,43.3266,-84.5361,25635,1602,447,24033,26,321.7543197729608,82644,3986,6.249268578115857,1037.2952605155676,15.549054027696508,2020-04-13,Apr,13,MI
Minnesota,2020-04-13T23:07:54Z,45.6945,-93.9002,1621,70,842,1551,27,32.771003666066505,38427,361,4.318322023442319,776.8608006637493,22.27020357803825,2020-04-13,Apr,13,MN
Mississippi,2020-04-13T23:07:54Z,32.7416,-89.6787,2942,98,NA,2844,28,101.61625804865008,30984,549,3.3310673011556764,1070.1829161724588,18.66077498300476,2020-04-13,Apr,13,MS
Missouri,2020-04-13T23:07:54Z,38.4561,-92.2884,4515,123,NA,4392,29,77.05493479258142,45428,988,2.7242524916943522,775.2938156716255,21.882613510520486,2020-04-13,Apr,13,MO
Montana,2020-04-13T23:07:54Z,46.9219,-110.4544,394,7,171,387,30,45.49721878042049,9098,47,1.7766497461928934,1050.5931382341766,11.928934010152284,2020-04-13,Apr,13,MT
Nebraska,2020-04-13T23:07:54Z,41.1254,-98.2681,814,17,NA,797,31,53.36753051259054,10972,NA,2.0884520884520885,719.3471066144268,NA,2020-04-13,Apr,13,NE
Nevada,2020-04-13T23:07:54Z,38.3135,-117.0554,2990,114,NA,2876,32,99.11502547322452,25464,NA,3.8127090301003346,844.1020095820031,NA,2020-04-13,Apr,13,NV
