(state),date,state,positive,recovered,death,positiveIncrease,daily_cases_adj,active_roll7,active_roll7_adj,daily_recover,daily_recover_adj,recovered_roll7,recovered_roll7_adj,deathIncrease,daily_deaths_adj,deaths_roll7,deaths_roll7_adj,hospitalizedIncrease,hospitalizedCurrently,inIcuCurrently
MD,2020-06-02,MD,54175,3855,2646,848,13.94021488972764,826,13.578558371362064,73,1.2000420836675918,1.3808703428503795,1.3808703428503795,21,0.34521758571259487,23.428571428571427,0.3851407078698337,71,1148,481
MD,2020-06-03,MD,54982,3970,2666,807,13.26621865095543,781,12.838806401977932,115,1.8904772550927813,1.2352683679239789,1.2352683679239789,20,0.3287786530596142,25.428571428571427,0.4180185731757951,154,1109,471
MD,2020-06-04,MD,55858,3985,2668,876,14.4005050040111,742.1428571428571,12.20003644746211,15,0.2465839897947106,1.117847420402688,1.117847420402688,2,0.032877865305961415,21.857142857142858,0.35930809941514974,106,1096,456
MD,2020-06-05,MD,56770,4159,2702,912,14.992306579518404,725.2857142857143,11.922923011311864,174,2.860374281618643,1.0755758792950234,1.0755758792950234,34,0.558923710201344,21.571428571428573,0.3546112615142981,129,1076,455
MD,2020-06-06,MD,57482,4175,2740,712,11.704520048922264,675.5714285714286,11.105673216563678,16,0.2630229224476913,0.9957296349805457,0.9957296349805457,38,0.6246794408132669,23.571428571428573,0.38748912682025954,105,1059,418
MD,2020-06-07,MD,57973,4240,2749,491,8.071515932613528,640.4285714285714,10.52796215475893,65,1.068530622443746,0.7984624431447772,0.7984624431447772,9,0.14795039387682637,25.428571428571427,0.4180185731757951,95,1003,404
MD,2020-06-08,MD,58404,4240,2776,431,7.085179973434685,619.8571428571429,10.189789825897611,0,0,0.8923992011618098,0.8923992011618098,27,0.4438511816304791,29.571428571428573,0.4861227227381438,83,979,392
MD,2020-06-09,MD,58904,4279,2811,500,8.219466326490354,549,9.024974026486408,39,0.6411183734662476,0.7397519693841318,0.7397519693841318,35,0.5753626428543247,28.285714285714285,0.46498695218431146,47,970,386
MD,2020-06-10,MD,59465,4310,2844,561,9.222241218322177,546.1428571428571,8.978005647477891,31,0.509606912242402,0.8477792411037193,0.8477792411037193,33,0.5424847775483633,26.571428571428573,0.43680592477920166,79,955,379
MD,2020-06-11,MD,60197,4365,2875,732,12.033298701981877,532.5714285714286,8.75490584718744,55,0.9041412959139388,0.7068741040781704,0.7068741040781704,31,0.509606912242402,27.142857142857142,0.4461996005809049,34,902,358
MD,2020-06-12,MD,60613,4474,2900,416,6.838595983639974,518.2857142857143,8.520063952144858,109,1.791843659174897,0.7679329967892415,0.7679329967892415,25,0.4109733163245177,24.428571428571427,0.40157964052281436,134,836,331
MD,2020-06-13,MD,61305,4536,2926,692,11.375741395862649,500.7142857142857,8.231208421242481,62,1.019213824484804,0.7045256851277446,0.7045256851277446,26,0.42741224897749835,24.428571428571427,0.40157964052281436,130,799,321
MD,2020-06-14,MD,61701,4541,2939,396,6.50981733058036,500.57142857142856,8.228860002292055,5,0.08219466326490354,0.6716478198217831,0.6716478198217831,13,0.21370612448874918,21.714285714285715,0.3569596804647239,112,751,313
MD,2020-06-15,MD,62032,4567,2947,331,5.441286708136614,433.14285714285717,7.120406257691072,26,0.42741224897749835,0.6458152113670992,0.6458152113670992,8,0.13151146122384566,20.142857142857142,0.33112707201004,57,745,292
MD,2020-06-16,MD,62409,4579,2982,377,6.197477610173727,419.2857142857143,6.892609619499767,12,0.1972671918357685,0.495516398539847,0.495516398539847,35,0.5753626428543247,18.571428571428573,0.30529446355535594,40,742,284
MD,2020-06-17,MD,62969,4596,2996,560,9.205802285669195,378.7142857142857,6.225658637578836,17,0.279461855100672,0.4908195606389954,0.4908195606389954,14,0.23014505714172992,18,0.2959007877536527,47,702,283
MD,2020-06-18,MD,63229,4640,3016,260,4.274122489774984,372.14285714285717,6.117631365859248,44,0.7233130367311511,0.5448331964987891,0.5448331964987891,20,0.3287786530596142,18.142857142857142,0.29824920670407856,48,660,269
MD,2020-06-19,MD,63548,4685,3030,319,5.244019516300845,367.2857142857143,6.037785121544771,45,0.7397519693841318,0.4908195606389954,0.4908195606389954,14,0.23014505714172992,18.142857142857142,0.29824920670407856,90,648,261
MD,2020-06-20,MD,63956,4745,3052,408,6.707084522416128,371.14285714285717,6.1011924332062675,60,0.9863359591788424,0.5119553311928278,0.5119553311928278,22,0.36165651836557555,15.714285714285714,0.2583260845468397,50,644,238
MD,2020-06-21,MD,64306,4773,3066,350,5.753626428543248,338.2857142857143,5.561056074608331,28,0.46029011428345984,0.5025616553911245,0.5025616553911245,14,0.23014505714172992,16,0.2630229224476913,47,608,230
MD,2020-06-22,MD,64603,4776,3074,297,4.88236299793527,364,5.983771485684977,3,0.04931679795894212,0.5495300343996408,0.5495300343996408,8,0.13151146122384566,16.142857142857142,0.26537134139811713,28,602,232
MD,2020-06-23,MD,65007,4797,3092,404,6.641328791804206,366.7142857142857,6.028391445743067,21,0.34521758571259487,0.5119553311928278,0.5119553311928278,18,0.29590078775365275,16,0.2630229224476913,39,561,212
MD,2020-06-24,MD,65337,4810,3108,330,5.4248477754836335,356.2857142857143,5.856956862361983,13,0.21370612448874918,0.4461996005809049,0.4461996005809049,16,0.2630229224476913,15,0.2465839897947106,37,544,213
MD,2020-06-25,MD,65777,4874,3129,440,7.23313036731151,353,5.8029432265021885,64,1.0520916897907653,0.4767290469364405,0.4767290469364405,21,0.34521758571259487,14.571428571428571,0.23953873294343314,35,511,209
MD,2020-06-26,MD,66115,4903,3142,338,5.556359236707479,378.7142857142857,6.225658637578836,29,0.47672904693644047,0.4767290469364405,0.4767290469364405,13,0.21370612448874918,14.428571428571429,0.23719031399300736,42,487,190
